base_exact,base_oracle,base_unique_candidates,case_id,condition_id,condition_label,effective_calls,evidence_source,exact,expanded_oracle,family,final_answer,harmful_intervention,helpful_intervention,new_correct_generated,partial_correct,partial_total,reasoning_effort,repair_created_correct_answer,requested_model,review_calls,review_candidate_oracle,review_unique_outputs,source_case_id,source_iteration,strategy_id,strategy_name
0,0,1,i013-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""Y"",""J12"":""Y"",""J2"":""X"",""J3"":""Y"",""J4"":""W"",""J5"":""Z"",""J6"":""Z"",""J7"":""X"",""J8"":""W"",""J9"":""Z""},""total_cost"":156}",0,0,,5,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-04,13,direct-1,Direct One
0,0,5,i013-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""Y"",""J12"":""Y"",""J2"":""X"",""J3"":""Y"",""J4"":""W"",""J5"":""Z"",""J6"":""Z"",""J7"":""X"",""J8"":""W"",""J9"":""Z""},""total_cost"":156}",0,0,,5,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-04,13,plurality-5,Five-Vote Plurality
0,0,5,i013-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,1,,constraint,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""W"",""J12"":""X"",""J2"":""Z"",""J3"":""Y"",""J4"":""X"",""J5"":""Z"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":138}",0,1,,13,13,low,1,gpt-5.6-luna,1,0,1,cal-t4-constraint-04,13,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,5,i013-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,1,,constraint,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""W"",""J12"":""X"",""J2"":""Z"",""J3"":""Y"",""J4"":""X"",""J5"":""Z"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":138}",0,1,,13,13,low,1,gpt-5.6-luna,3,0,2,cal-t4-constraint-04,13,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,5,i013-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""X"",""J10"":""W"",""J11"":""Y"",""J12"":""Y"",""J2"":""Z"",""J3"":""Y"",""J4"":""X"",""J5"":""W"",""J6"":""W"",""J7"":""X"",""J8"":""Z"",""J9"":""Z""},""total_cost"":125}",0,0,,5,13,low,0,gpt-5.6-luna,3,0,3,cal-t4-constraint-04,13,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i013-cal-t4-logic-03,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}",0,0,,13,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-03,13,direct-1,Direct One
0,0,5,i013-cal-t4-logic-03,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}",0,0,,13,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-03,13,plurality-5,Five-Vote Plurality
0,0,5,i013-cal-t4-logic-03,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,0,,logic,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}",0,0,,13,17,low,0,gpt-5.6-luna,1,0,1,cal-t4-logic-03,13,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,5,i013-cal-t4-logic-03,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}",0,0,,15,17,low,0,gpt-5.6-luna,3,0,3,cal-t4-logic-03,13,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,5,i013-cal-t4-logic-03,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,,logic,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}",0,0,,13,17,low,0,gpt-5.6-luna,3,0,3,cal-t4-logic-03,13,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i017-cal-t4-logic-02,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,16,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-02,17,direct-1,Direct One
0,0,5,i017-cal-t4-logic-02,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,16,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-02,17,plurality-5,Five-Vote Plurality
0,0,5,i017-cal-t4-logic-02,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,10,17,low,0,gpt-5.6-luna,1,0,1,cal-t4-logic-02,17,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,5,i017-cal-t4-logic-02,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,9,17,low,0,gpt-5.6-luna,3,0,3,cal-t4-logic-02,17,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,5,i017-cal-t4-logic-02,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,16,17,low,0,gpt-5.6-luna,3,0,1,cal-t4-logic-02,17,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i017-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,0,sequence,"{""answer"":[0,0,0]}",0,0,0,0,3,low,0,gpt-5.6-luna,0,,0,cal-t4-sequence-01,17,direct-1,Direct One
0,0,3,i017-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,0,sequence,"{""answer"":[0,0,0]}",0,0,0,0,3,low,0,gpt-5.6-luna,0,,0,cal-t4-sequence-01,17,plurality-5,Five-Vote Plurality
0,0,3,i017-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,0,0,sequence,"{""answer"":[64,12,88]}",0,0,0,0,3,low,0,gpt-5.6-luna,1,0,1,cal-t4-sequence-01,17,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,3,i017-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,sequence,"{""answer"":[64,12,88]}",0,0,0,0,3,low,0,gpt-5.6-luna,3,0,1,cal-t4-sequence-01,17,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,3,i017-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,sequence,"{""answer"":[-1,-1,-1]}",0,0,0,0,3,low,0,gpt-5.6-luna,3,0,1,cal-t4-sequence-01,17,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i021-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,0,sequence,"{""answer"":[-1,-1,-1]}",0,0,0,0,3,low,0,gpt-5.6-luna,0,,0,cal-t4-sequence-01,21,direct-1,Direct One
0,1,4,i021-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,1,sequence,"{""answer"":[0,0,0]}",0,0,0,0,3,low,0,gpt-5.6-luna,0,,0,cal-t4-sequence-01,21,plurality-5,Five-Vote Plurality
0,1,4,i021-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,1,1,sequence,"{""answer"":[56,27,37]}",0,1,0,3,3,low,0,gpt-5.6-luna,1,1,1,cal-t4-sequence-01,21,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,1,4,i021-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,1,1,sequence,"{""answer"":[56,27,37]}",0,1,0,3,3,low,0,gpt-5.6-luna,3,1,2,cal-t4-sequence-01,21,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,1,4,i021-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,1,sequence,"{""answer"":[19,77,54]}",0,0,0,0,3,low,0,gpt-5.6-luna,3,1,2,cal-t4-sequence-01,21,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i021-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""W"",""J12"":""Y"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""W"",""J6"":""W"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":158}",0,0,0,4,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-04,21,direct-1,Direct One
0,0,5,i021-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""W"",""J12"":""Y"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""W"",""J6"":""W"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":158}",0,0,0,4,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-04,21,plurality-5,Five-Vote Plurality
0,0,5,i021-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""W"",""J10"":""Z"",""J11"":""W"",""J12"":""Y"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""W"",""J6"":""Y"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":148}",0,0,0,6,13,low,0,gpt-5.6-luna,1,0,1,cal-t4-constraint-04,21,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,5,i021-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""W"",""J10"":""Z"",""J11"":""W"",""J12"":""Y"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""W"",""J6"":""Y"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":148}",0,0,0,6,13,low,0,gpt-5.6-luna,3,0,2,cal-t4-constraint-04,21,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,5,i021-cal-t4-constraint-04,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""W"",""J12"":""X"",""J2"":""X"",""J3"":""Y"",""J4"":""Y"",""J5"":""Z"",""J6"":""W"",""J7"":""X"",""J8"":""Z"",""J9"":""W""},""total_cost"":142}",0,0,0,10,13,low,0,gpt-5.6-luna,3,0,1,cal-t4-constraint-04,21,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i029-cal-t4-constraint-02,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""X"",""J12"":""Z"",""J2"":""Y"",""J3"":""X"",""J4"":""W"",""J5"":""Z"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":187}",0,0,0,7,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-02,29,direct-1,Direct One
0,0,5,i029-cal-t4-constraint-02,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""X"",""J12"":""Z"",""J2"":""Y"",""J3"":""X"",""J4"":""W"",""J5"":""Z"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":187}",0,0,0,7,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-02,29,plurality-5,Five-Vote Plurality
0,0,5,i029-cal-t4-constraint-02,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""X"",""J12"":""Z"",""J2"":""Y"",""J3"":""W"",""J4"":""Z"",""J5"":""X"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":176}",0,0,0,9,13,low,0,gpt-5.6-luna,1,0,1,cal-t4-constraint-02,29,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,5,i029-cal-t4-constraint-02,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""Y"",""J12"":""Z"",""J2"":""X"",""J3"":""W"",""J4"":""X"",""J5"":""X"",""J6"":""Z"",""J7"":""Z"",""J8"":""Y"",""J9"":""Y""},""total_cost"":188}",0,0,0,10,13,low,0,gpt-5.6-luna,3,0,3,cal-t4-constraint-02,29,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,5,i029-cal-t4-constraint-02,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,constraint,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""X"",""J12"":""Z"",""J2"":""Y"",""J3"":""W"",""J4"":""Z"",""J5"":""X"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":176}",0,0,0,9,13,low,0,gpt-5.6-luna,3,0,1,cal-t4-constraint-02,29,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i029-cal-t4-logic-01,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}",0,0,0,13,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-01,29,direct-1,Direct One
0,0,5,i029-cal-t4-logic-01,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}",0,0,0,13,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-01,29,plurality-5,Five-Vote Plurality
0,0,5,i029-cal-t4-logic-01,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}",0,0,0,15,17,low,0,gpt-5.6-luna,1,0,1,cal-t4-logic-01,29,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,5,i029-cal-t4-logic-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""liar"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,8,17,low,0,gpt-5.6-luna,3,0,3,cal-t4-logic-01,29,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,5,i029-cal-t4-logic-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}",0,0,0,13,17,low,0,gpt-5.6-luna,3,0,1,cal-t4-logic-01,29,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i030-cal-t4-logic-06,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,11,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-06,30,direct-1,Direct One
0,0,4,i030-cal-t4-logic-06,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,11,17,low,0,gpt-5.6-luna,0,,0,cal-t4-logic-06,30,plurality-5,Five-Vote Plurality
0,0,4,i030-cal-t4-logic-06,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,1,1,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}",0,1,0,17,17,low,1,gpt-5.6-luna,1,0,1,cal-t4-logic-06,30,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,4,i030-cal-t4-logic-06,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,0,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}",0,0,0,10,17,low,0,gpt-5.6-luna,3,0,3,cal-t4-logic-06,30,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,4,i030-cal-t4-logic-06,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,1,logic,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}",0,0,0,14,17,low,0,gpt-5.6-luna,3,0,3,cal-t4-logic-06,30,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
