label,signature,strategy_ids,panels,iterations,correct,total,accuracy,ci95_low,ci95_high,worst_family_accuracy,constraint_accuracy,logic_accuracy,sequence_accuracy,mean_calls,base_accuracy,base_oracle_accuracy,expanded_oracle_cases,expanded_oracle_accuracy,oracle_conversion,helpful_interventions,harmful_interventions,net_corrections,base_oracle_conversion,base_no_oracle_rescue,expanded_no_oracle_rescue
7-bank + 3 parallel repair,"{""base_count"":7,""candidate_limit"":7,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-combined-7x3,1,2,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.75,0.0,0.25,9.25,0.0,0.5,0,,,4,0,4,0.6666666666666666,0.0,
11-bank + 3 choose-only selector,"{""base_count"":11,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":true}",choice-falsify-combined-11x3,1,2,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.75,0.0,0.25,13.5,0.08333333333333333,0.5,0,,,3,0,3,0.6666666666666666,0.0,
1-bank + 3 parallel repair,"{""base_count"":1,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""rederive"",""review_trigger"":""always"",""show_frequencies"":false}",repair-rederive-1x3,1,3,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.5,0.0,0.5,4.0,0.16666666666666666,0.16666666666666666,0,,,2,0,2,1.0,0.2,
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-falsify-5x3-majority-gated,1,7,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.0,0.75,0.25,0.0,7.5,0.0,0.4166666666666667,0,,,4,0,4,0.6,0.14285714285714285,
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-delegate-falsify-9x3-fusion,1,22,4,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.25,0.5,0.25,0.25,11.75,0.16666666666666666,0.5833333333333334,12,0.5833333333333334,0.5714285714285714,2,0,2,0.5714285714285714,0.0,0.0
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-5x3-delegate-fusion;repair-fused-5x3,2,4;11,7,24,0.2916666666666667,0.14914648196960875,0.49167693664496637,0.125,0.5,0.25,0.125,8.0,0.20833333333333334,0.2916666666666667,0,,,3,1,2,0.7142857142857143,0.11764705882352941,
5-bank + 3 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choose-falsify-5x3,2,7;8,6,24,0.25,0.11999366228595004,0.44899444005154004,0.25,0.25,0.25,0.25,8.0,0.0,0.25,0,,,6,0,6,1.0,0.0,
5-bank + 5 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":5,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-falsify-5x5,1,3,3,12,0.25,0.08894166839405471,0.5323053349335657,0.0,0.25,0.0,0.5,10.0,0.16666666666666666,0.3333333333333333,0,,,1,0,1,0.75,0.0,
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-compare-9x3-fusion,1,7,3,12,0.25,0.08894166839405471,0.5323053349335657,0.0,0.5,0.25,0.0,12.0,0.08333333333333333,0.6666666666666666,0,,,3,1,2,0.375,0.0,
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-repair-9x3-fallback,1,9,3,12,0.25,0.08894166839405471,0.5323053349335657,0.0,0.25,0.0,0.5,11.5,0.0,0.5,0,,,3,0,3,0.3333333333333333,0.16666666666666666,
5-bank + 3 blind regenerators,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""augmented_plurality"",""review_count"":3,""review_mode"":""regenerate"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",regenerate-rederive-5x3,2,14;15,7,30,0.23333333333333334,0.11792388144489496,0.40928326158122164,0.0,0.3,0.4,0.0,8.0,0.16666666666666666,0.5,30,0.6,0.3888888888888889,3,1,2,0.4,0.06666666666666667,0.0
15-solver plurality,"{""base_count"":15,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",plurality-15;plurality-15-replication,2,1;2,5,24,0.20833333333333334,0.09244825352851857,0.40470453253188665,0.125,0.375,0.125,0.125,15.0,0.20833333333333334,0.7083333333333334,0,,,0,0,0,0.29411764705882354,0.0,
9-solver plurality,"{""base_count"":9,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",plurality-9,1,1,2,12,0.16666666666666666,0.04696514218385381,0.4480308622529734,0.0,0.25,0.0,0.25,9.0,0.16666666666666666,0.75,0,,,0,0,0,0.2222222222222222,0.0,
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-falsify-9x3-majority,1,9,2,12,0.16666666666666666,0.04696514218385381,0.4480308622529734,0.0,0.25,0.0,0.25,11.5,0.0,0.5,0,,,2,0,2,0.3333333333333333,0.0,
9-bank + 1 parallel repair,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",committee-delegate-falsify-9x1,1,16,2,12,0.16666666666666666,0.04696514218385381,0.4480308622529734,0.0,0.25,0.0,0.25,9.75,0.08333333333333333,0.6666666666666666,12,0.6666666666666666,0.25,2,1,1,0.25,0.0,0.0
5-solver plurality,"{""base_count"":5,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",plurality-5,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,48,396,0.12121212121212122,0.09265461134132788,0.1570480060790114,0.07575757575757576,0.15151515151515152,0.07575757575757576,0.13636363636363635,5.0,0.12121212121212122,0.3838383838383838,228,0.40350877192982454,0.31521739130434784,0,0,0,0.3157894736842105,0.0,0.0
Direct one-call baseline,"{""base_count"":1,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",direct-1,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,37,396,0.09343434343434344,0.06854716402851097,0.12613364533598653,0.03787878787878788,0.07575757575757576,0.03787878787878788,0.16666666666666666,1.0,0.09343434343434344,0.09343434343434344,228,0.11403508771929824,1.0,0,0,0,1.0,0.0,0.0
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",repair-rederive-5x3,1,3,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,0.0,0.0,0.0,0.0,8.0,0.16666666666666666,0.3333333333333333,0,,,0,2,-2,0.0,0.0,
5-bank + 1 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",choose-falsify-5x1-efficient,1,8,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,0.0,0.0,0.0,0.0,6.0,0.0,0.08333333333333333,0,,,0,0,0,0.0,0.0,
5-bank + 1 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",repair-falsify-5x1-majority-gated,1,11,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,0.0,0.0,0.0,0.0,5.833333333333333,0.16666666666666666,0.16666666666666666,0,,,0,2,-2,0.0,0.0,
