iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
5,direct-1,Direct One,cal-t4-logic-01,logic,0,7,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
5,direct-1,Direct One,cal-t4-logic-02,logic,0,11,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""liar""}}"
5,direct-1,Direct One,cal-t4-logic-03,logic,0,11,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}"
5,direct-1,Direct One,cal-t4-logic-04,logic,0,10,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""liar"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
5,direct-1,Direct One,cal-t4-logic-05,logic,0,16,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
5,direct-1,Direct One,cal-t4-logic-06,logic,0,7,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
5,plurality-5,Five-Vote Plurality,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,5,4,0,0,0,"{""answer"":[0,0,0]}"
5,plurality-5,Five-Vote Plurality,cal-t4-sequence-02,sequence,0,0,3,0,1,0,,0,5,3,0,0,0,"{""answer"":[0,0,0]}"
5,plurality-5,Five-Vote Plurality,cal-t4-sequence-03,sequence,1,3,3,1,1,0,,0,5,3,0,0,0,"{""answer"":[74,63,9]}"
5,plurality-5,Five-Vote Plurality,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,5,3,0,0,0,"{""answer"":[0,0,0]}"
5,plurality-5,Five-Vote Plurality,cal-t4-sequence-05,sequence,0,0,3,0,0,0,,0,5,3,0,0,0,"{""answer"":[0,0,0]}"
5,plurality-5,Five-Vote Plurality,cal-t4-sequence-06,sequence,0,0,3,0,1,0,,0,5,4,0,0,0,"{""answer"":[0,0,0]}"
5,plurality-5,Five-Vote Plurality,cal-t4-constraint-01,constraint,0,8,13,0,0,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Z"",""J3"":""Y"",""J4"":""Z"",""J5"":""X"",""J6"":""X"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":181}"
5,plurality-5,Five-Vote Plurality,cal-t4-constraint-02,constraint,0,4,13,0,1,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Z"",""J12"":""Z"",""J2"":""W"",""J3"":""Y"",""J4"":""X"",""J5"":""Y"",""J6"":""W"",""J7"":""Z"",""J8"":""W"",""J9"":""X""},""total_cost"":107}"
5,plurality-5,Five-Vote Plurality,cal-t4-constraint-03,constraint,0,6,13,0,0,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""W"",""J12"":""Z"",""J2"":""Y"",""J3"":""Z"",""J4"":""X"",""J5"":""W"",""J6"":""W"",""J7"":""X"",""J8"":""X"",""J9"":""Y""},""total_cost"":147}"
5,plurality-5,Five-Vote Plurality,cal-t4-constraint-04,constraint,1,13,13,1,1,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""Y"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""W""},""total_cost"":161}"
5,plurality-5,Five-Vote Plurality,cal-t4-constraint-05,constraint,0,10,13,0,0,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Z"",""J12"":""X"",""J2"":""W"",""J3"":""Z"",""J4"":""Y"",""J5"":""W"",""J6"":""X"",""J7"":""W"",""J8"":""Z"",""J9"":""Y""},""total_cost"":79}"
5,plurality-5,Five-Vote Plurality,cal-t4-constraint-06,constraint,0,5,13,0,1,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""W"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""Z"",""J5"":""X"",""J6"":""Y"",""J7"":""Z"",""J8"":""X"",""J9"":""Y""},""total_cost"":191}"
5,plurality-5,Five-Vote Plurality,cal-t4-logic-01,logic,0,7,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
5,plurality-5,Five-Vote Plurality,cal-t4-logic-02,logic,0,11,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""liar""}}"
5,plurality-5,Five-Vote Plurality,cal-t4-logic-03,logic,0,11,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}"
5,plurality-5,Five-Vote Plurality,cal-t4-logic-04,logic,0,10,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""liar"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
5,plurality-5,Five-Vote Plurality,cal-t4-logic-05,logic,0,16,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
5,plurality-5,Five-Vote Plurality,cal-t4-logic-06,logic,0,7,17,0,1,0,,0,5,5,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-sequence-01,sequence,0,2,3,0,0,3,0,0,12,6,3,0,0,"{""answer"":[34,18,72]}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-sequence-02,sequence,0,0,3,0,1,3,1,0,12,4,2,0,0,"{""answer"":[82,28,44]}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-sequence-03,sequence,1,3,3,1,1,3,1,0,12,5,2,0,0,"{""answer"":[74,63,9]}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-sequence-04,sequence,1,3,3,0,1,3,1,0,12,4,1,1,0,"{""answer"":[96,34,10]}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-sequence-05,sequence,0,0,3,0,1,3,0,0,12,7,2,0,0,"{""answer"":[0,0,0]}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-sequence-06,sequence,0,0,3,0,1,3,1,0,12,6,2,0,0,"{""answer"":[43,27,11]}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-constraint-01,constraint,1,13,13,0,0,3,0,1,12,6,2,1,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""Y"",""J4"":""Z"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""Y"",""J9"":""W""},""total_cost"":176}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-constraint-02,constraint,1,13,13,0,1,3,1,0,12,6,3,1,0,"{""answer"":{""J1"":""X"",""J10"":""X"",""J11"":""Y"",""J12"":""Y"",""J2"":""W"",""J3"":""X"",""J4"":""W"",""J5"":""Y"",""J6"":""Z"",""J7"":""Z"",""J8"":""Z"",""J9"":""W""},""total_cost"":126}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-constraint-03,constraint,0,6,13,0,0,3,0,0,12,9,3,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""W"",""J12"":""Z"",""J2"":""Y"",""J3"":""Z"",""J4"":""X"",""J5"":""W"",""J6"":""W"",""J7"":""X"",""J8"":""X"",""J9"":""Y""},""total_cost"":147}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-constraint-04,constraint,1,13,13,1,1,3,1,0,12,9,2,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""Y"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""W""},""total_cost"":161}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-constraint-05,constraint,0,9,13,0,0,3,0,0,12,9,3,0,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""W"",""J4"":""Y"",""J5"":""W"",""J6"":""X"",""J7"":""W"",""J8"":""Z"",""J9"":""Y""},""total_cost"":80}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-constraint-06,constraint,1,13,13,0,1,3,1,0,12,9,1,1,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""W"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""X"",""J5"":""Y"",""J6"":""X"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":182}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-logic-01,logic,0,8,17,0,0,3,0,0,12,9,3,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-logic-02,logic,1,17,17,1,1,3,1,0,12,8,2,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-logic-03,logic,0,14,17,0,0,3,0,0,12,9,3,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""liar"",""D"":""liar"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-logic-04,logic,0,11,17,0,0,3,0,0,12,9,3,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-logic-05,logic,1,17,17,0,1,3,0,1,12,8,2,1,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
5,repair-falsify-9x3,Nine Solvers plus Three Falsifying Repairers,cal-t4-logic-06,logic,1,17,17,0,1,3,1,0,12,8,2,1,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-sequence-01,sequence,0,2,3,0,0,3,0,0,18,9,1,0,0,"{""answer"":[34,18,72]}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-sequence-02,sequence,0,1,3,0,1,3,1,0,18,4,3,0,0,"{""answer"":[21,25,71]}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-sequence-03,sequence,1,3,3,1,1,3,1,0,18,6,1,0,0,"{""answer"":[74,63,9]}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-sequence-04,sequence,0,0,3,0,1,3,1,0,18,6,3,0,0,"{""answer"":[57,0,0]}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-sequence-05,sequence,0,0,3,0,1,3,1,0,18,8,3,0,0,"{""answer"":[14,54,52]}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-sequence-06,sequence,0,0,3,0,1,3,1,0,18,6,3,0,0,"{""answer"":[42,87,16]}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-constraint-01,constraint,1,13,13,0,0,3,0,1,18,7,2,1,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""Y"",""J4"":""Z"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""Y"",""J9"":""W""},""total_cost"":176}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-constraint-02,constraint,1,13,13,0,1,3,1,0,18,10,1,1,0,"{""answer"":{""J1"":""X"",""J10"":""X"",""J11"":""Y"",""J12"":""Y"",""J2"":""W"",""J3"":""X"",""J4"":""W"",""J5"":""Y"",""J6"":""Z"",""J7"":""Z"",""J8"":""Z"",""J9"":""W""},""total_cost"":126}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-constraint-03,constraint,0,2,13,0,0,3,0,0,18,15,2,0,0,"{""answer"":{""J1"":""X"",""J10"":""W"",""J11"":""W"",""J12"":""Z"",""J2"":""Y"",""J3"":""X"",""J4"":""Z"",""J5"":""W"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":183}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-constraint-04,constraint,1,13,13,0,1,3,1,0,18,14,1,1,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""Y"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""W""},""total_cost"":161}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-constraint-05,constraint,1,13,13,0,1,3,0,1,18,15,2,1,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Z"",""J12"":""X"",""J2"":""W"",""J3"":""Y"",""J4"":""Z"",""J5"":""W"",""J6"":""X"",""J7"":""W"",""J8"":""Z"",""J9"":""Y""},""total_cost"":107}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-constraint-06,constraint,1,13,13,1,1,3,1,0,18,12,1,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""W"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""X"",""J5"":""Y"",""J6"":""X"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":182}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-logic-01,logic,0,8,17,0,0,3,0,0,18,15,3,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-logic-02,logic,0,9,17,1,1,3,1,0,18,14,3,0,1,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""liar""}}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-logic-03,logic,0,11,17,0,0,3,0,0,18,15,2,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-logic-04,logic,0,11,17,0,0,3,0,0,18,14,3,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""liar"",""D"":""liar"",""E"":""liar"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-logic-05,logic,1,17,17,0,1,3,1,0,18,13,1,1,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
5,repair-falsify-15x3,Fifteen Solvers plus Three Falsifying Repairers,cal-t4-logic-06,logic,1,17,17,0,1,3,1,0,18,12,1,1,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-sequence-01,sequence,0,0,3,0,0,3,0,0,12,6,2,0,0,"{""answer"":[42,76,14]}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-sequence-02,sequence,0,0,3,0,1,3,1,0,12,4,2,0,0,"{""answer"":[82,28,44]}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-sequence-03,sequence,1,3,3,1,1,3,1,0,12,5,2,0,0,"{""answer"":[74,63,9]}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-sequence-04,sequence,0,0,3,0,1,0,,0,9,4,0,0,0,"{""answer"":[0,0,0]}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-sequence-05,sequence,0,0,3,0,1,3,0,0,12,7,3,0,0,"{""answer"":[14,54,52]}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-sequence-06,sequence,0,0,3,0,1,3,1,0,12,6,2,0,0,"{""answer"":[42,87,16]}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-constraint-01,constraint,0,10,13,0,0,3,0,0,12,6,2,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""Y"",""J4"":""Z"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":177}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-constraint-02,constraint,1,13,13,0,1,3,1,0,12,6,2,1,0,"{""answer"":{""J1"":""X"",""J10"":""X"",""J11"":""Y"",""J12"":""Y"",""J2"":""W"",""J3"":""X"",""J4"":""W"",""J5"":""Y"",""J6"":""Z"",""J7"":""Z"",""J8"":""Z"",""J9"":""W""},""total_cost"":126}"
5,choose-compare-9x3-guarded,Guarded Nine-Bank Candidate Adjudication,cal-t4-constraint-03,constraint,0,2,13,0,0,3,0,0,12,9,3,0,0,"{""answer"":{""J1"":""X"",""J10"":""W"",""J11"":""W"",""J12"":""Z"",""J2"":""Y"",""J3"":""X"",""J4"":""Z"",""J5"":""W"",""J6"":""Z"",""J7"":""X"",""J8"":""Y"",""J9"":""Y""},""total_cost"":151}"
