iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,effective_calls,helpful_intervention,harmful_intervention,final_answer
1,plurality-5,Five-Vote Plurality,cal-t4-constraint-01,constraint,0,4,13,0,0,0,5,0,0,"{""answer"":{""J1"":""X"",""J10"":""X"",""J11"":""Z"",""J12"":""Z"",""J2"":""X"",""J3"":""Y"",""J4"":""X"",""J5"":""W"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""W""},""total_cost"":161}"
1,plurality-5,Five-Vote Plurality,cal-t4-constraint-02,constraint,0,10,13,0,1,0,5,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Y"",""J12"":""W"",""J2"":""X"",""J3"":""Z"",""J4"":""W"",""J5"":""X"",""J6"":""W"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":151}"
1,plurality-5,Five-Vote Plurality,cal-t4-constraint-03,constraint,0,10,13,0,0,0,5,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Y"",""J12"":""Z"",""J2"":""W"",""J3"":""Z"",""J4"":""X"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":160}"
1,plurality-5,Five-Vote Plurality,cal-t4-constraint-04,constraint,0,9,13,0,0,0,5,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""W"",""J4"":""X"",""J5"":""Y"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":141}"
1,plurality-5,Five-Vote Plurality,cal-t4-logic-01,logic,0,9,17,0,1,0,5,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,plurality-5,Five-Vote Plurality,cal-t4-logic-02,logic,0,12,17,0,1,0,5,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
1,plurality-5,Five-Vote Plurality,cal-t4-logic-03,logic,0,6,17,0,0,0,5,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,plurality-5,Five-Vote Plurality,cal-t4-logic-04,logic,0,10,17,0,0,0,5,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
1,plurality-9,Nine-Vote Plurality,cal-t4-sequence-01,sequence,0,0,3,0,1,0,9,0,0,"{""answer"":[-1,-1,-1]}"
1,plurality-9,Nine-Vote Plurality,cal-t4-sequence-02,sequence,1,3,3,1,1,0,9,0,0,"{""answer"":[20,14,65]}"
1,plurality-9,Nine-Vote Plurality,cal-t4-sequence-03,sequence,0,0,3,0,1,0,9,0,0,"{""answer"":[0,0,0]}"
1,plurality-9,Nine-Vote Plurality,cal-t4-sequence-04,sequence,0,0,3,0,1,0,9,0,0,"{""answer"":[0,0,0]}"
1,plurality-9,Nine-Vote Plurality,cal-t4-constraint-01,constraint,0,10,13,0,0,0,9,0,0,"{""answer"":{""J1"":""X"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""W"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":167}"
1,plurality-9,Nine-Vote Plurality,cal-t4-constraint-02,constraint,1,13,13,1,1,0,9,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""Y"",""J12"":""X"",""J2"":""X"",""J3"":""Z"",""J4"":""W"",""J5"":""Y"",""J6"":""W"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":151}"
1,plurality-9,Nine-Vote Plurality,cal-t4-constraint-03,constraint,0,10,13,0,1,0,9,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Y"",""J12"":""Z"",""J2"":""W"",""J3"":""Z"",""J4"":""X"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":160}"
1,plurality-9,Nine-Vote Plurality,cal-t4-constraint-04,constraint,0,10,13,0,1,0,9,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""W"",""J4"":""X"",""J5"":""Y"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":140}"
1,plurality-9,Nine-Vote Plurality,cal-t4-logic-01,logic,0,9,17,0,1,0,9,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,plurality-9,Nine-Vote Plurality,cal-t4-logic-02,logic,0,12,17,0,1,0,9,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
1,plurality-9,Nine-Vote Plurality,cal-t4-logic-03,logic,0,6,17,0,0,0,9,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,plurality-9,Nine-Vote Plurality,cal-t4-logic-04,logic,0,10,17,0,0,0,9,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-sequence-01,sequence,0,0,3,0,1,0,15,0,0,"{""answer"":[0,0,0]}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-sequence-02,sequence,1,3,3,1,1,0,15,0,0,"{""answer"":[20,14,65]}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-sequence-03,sequence,0,0,3,0,1,0,15,0,0,"{""answer"":[0,0,0]}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-sequence-04,sequence,0,0,3,0,1,0,15,0,0,"{""answer"":[0,0,0]}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-constraint-01,constraint,0,9,13,0,0,0,15,0,0,"{""answer"":{""J1"":""X"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""W"",""J4"":""W"",""J5"":""X"",""J6"":""Y"",""J7"":""X"",""J8"":""Z"",""J9"":""Z""},""total_cost"":173}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-constraint-02,constraint,1,13,13,1,1,0,15,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""Y"",""J12"":""X"",""J2"":""X"",""J3"":""Z"",""J4"":""W"",""J5"":""Y"",""J6"":""W"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":151}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-constraint-03,constraint,0,10,13,0,1,0,15,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Y"",""J12"":""Z"",""J2"":""W"",""J3"":""Z"",""J4"":""X"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":160}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-constraint-04,constraint,1,13,13,1,1,0,15,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""X"",""J5"":""W"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":140}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-logic-01,logic,0,9,17,0,1,0,15,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-logic-02,logic,1,17,17,1,1,0,15,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-logic-03,logic,0,5,17,0,0,0,15,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
1,plurality-15,Fifteen-Vote Plurality,cal-t4-logic-04,logic,0,10,17,0,1,0,15,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-sequence-01,sequence,1,3,3,0,1,3,8,1,0,"{""answer"":[58,24,78]}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-sequence-02,sequence,0,0,3,1,1,3,8,0,1,"{""answer"":[80,44,71]}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-sequence-03,sequence,0,0,3,0,0,3,8,0,0,"{""answer"":[34,81,60]}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-sequence-04,sequence,1,3,3,0,1,3,8,1,0,"{""answer"":[62,42,38]}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-constraint-01,constraint,0,10,13,0,0,3,8,0,0,"{""answer"":{""J1"":""X"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""W"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":167}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-constraint-02,constraint,1,13,13,0,1,3,8,1,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""Y"",""J12"":""X"",""J2"":""X"",""J3"":""Z"",""J4"":""W"",""J5"":""Y"",""J6"":""W"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":151}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-constraint-03,constraint,0,10,13,0,0,3,8,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Y"",""J12"":""Z"",""J2"":""W"",""J3"":""Z"",""J4"":""X"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":160}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-constraint-04,constraint,0,9,13,0,0,3,8,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""W"",""J4"":""X"",""J5"":""Y"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":141}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-logic-01,logic,1,17,17,0,1,3,8,1,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-logic-02,logic,1,17,17,0,1,3,8,1,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-logic-03,logic,0,3,17,0,0,3,8,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
1,choice-review-5x3,Five Solvers plus Three Verifiers,cal-t4-logic-04,logic,0,10,17,0,0,3,8,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-sequence-01,sequence,1,3,3,0,1,3,8,1,0,"{""answer"":[58,24,78]}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-sequence-02,sequence,1,3,3,1,1,3,8,0,0,"{""answer"":[20,14,65]}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-sequence-03,sequence,0,2,3,0,0,3,8,0,0,"{""answer"":[31,78,19]}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-sequence-04,sequence,1,3,3,0,1,3,8,1,0,"{""answer"":[62,42,38]}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-constraint-01,constraint,0,10,13,0,0,3,8,0,0,"{""answer"":{""J1"":""X"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""W"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":167}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-constraint-02,constraint,1,13,13,0,1,3,8,1,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""Y"",""J12"":""X"",""J2"":""X"",""J3"":""Z"",""J4"":""W"",""J5"":""Y"",""J6"":""W"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":151}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-constraint-03,constraint,0,10,13,0,0,3,8,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Y"",""J12"":""Z"",""J2"":""W"",""J3"":""Z"",""J4"":""X"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":160}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-constraint-04,constraint,0,9,13,0,0,3,8,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""W"",""J4"":""X"",""J5"":""Y"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":128}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-logic-01,logic,1,17,17,0,1,3,8,1,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-logic-02,logic,1,17,17,0,1,3,8,1,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-logic-03,logic,0,3,17,0,0,3,8,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
1,repair-review-5x3,Five Solvers plus Three Repairers,cal-t4-logic-04,logic,0,11,17,0,0,3,8,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
